,V1,Unnamed0,customer_id,review_id,product_id,product_parent,product_title,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date,score,export,Star normalization,Normalization of comment scores,Help rating weights,Help normalize rating weights,Total score1,Total score2,Total score3,Total score4
22,28,28,37828852,R3N3KZ7ZP8HJQV,B003FBG88E,195677102,conair pro styler ionic conditioning hair dryer,4,0,0,N,Y,Buy this,"So far, an excellent hair dryer. Not too noisy. Good controls. The handle is well contoured. My only nit is that the little plastic attachment that directs the stream of warm or hot air pops off a little too easily.",8/28/2015,0.251144029, ,0.75,0.626288268,1.0,0.0,0.590445502,0.61709371,0.573408123,0.660779297
23,29,29,2591476,R1PCG4HG8GZJBE,B007ROD3O2,614083399,"salon sundry professional bonnet style hood 1,000 watt salon hair dryer - multiple colors available",5,0,0,N,Y,Five Stars,"This item it's been working perfectly fine, I'm glad i ordered!!",8/28/2015,0.079845331, ,1.0,0.580848682,1.0,0.0,0.711686313,0.754970428,0.684012862,0.825927994
24,30,30,10881188,R38Q9W9BNZN2C4,B0009XH6V4,670161917,andis micro turbo hair dryer,5,0,0,N,Y,Great little dryer!,It is so hard to find a small blowdryer. I'm very happy with this!,8/28/2015,0.152367962, ,1.0,0.600086413,1.0,0.0,0.717405691,0.760103055,0.690107376,0.830098734
25,31,31,16209825,R1WXXPRNQWE7Y6,B0009XH6WI,197856712,andis 1600w quiet hangup hair dryer with night light,5,0,0,N,Y,Perfect,Perfect,8/28/2015,0.019048195, ,1.0,0.564721316,1.0,0.0,0.706891647,0.750667647,0.678903713,0.822431581
26,32,32,15821693,R3SS843K1CWOIY,B0009XH6TG,47684938,"andis 1875-watt fold-n-go ionic hair dryer , silver/black (80020)",5,0,0,N,Y,Five Stars,Great dryer.,8/28/2015,0.055538351, ,1.0,0.574400885,1.0,0.0,0.709769383,0.753250156,0.6819702,0.824530112
27,33,33,22054162,R1CBKQKQYW50UX,B003FBG88E,195677102,conair pro styler ionic conditioning hair dryer,5,0,0,N,Y,Great blow dryer,looks exactly as in photo. light weight and works like a charm. would definitely recommend,8/27/2015,0.221193603, ,1.0,0.618343462,1.0,0.0,0.722833511,0.764974036,0.695891209,0.834056863
28,34,34,42192723,R3DTN85N6X9SIS,B00006IV22,357308868,conair 1875 watt dual voltage folding handle hair dryer,5,0,0,N,Y,Great dryer for travel,Small and strong.  Great dryer for travel.  Also has dual voltage.  Glad I bought it!,8/27/2015,0.226667527, ,1.0,0.619795504,1.0,0.0,0.723265203,0.76536144,0.696351216,0.834371665
29,36,36,15701257,R24QP0W6EEOHUS,B000RZLL38,983445543,oster tourmaline wall mount hair dryer 76932-710,5,0,0,N,Y,was easy to mount on the wall,"Seems to be working well, was easy to mount on the wall.",8/27/2015,0.065451857, ,1.0,0.577030594,1.0,0.0,0.710551196,0.753951762,0.682803292,0.825100233
30,37,37,47174340,RLQUFMAV4PDJV,B0009XH6V4,670161917,andis micro turbo hair dryer,5,2,2,N,Y,"Petite, but Powerful Performance","This is the 2nd time I bought this little hair dryer because I like it so much. My first one finally bit the dust after about 3 years. It's very small and lightweight--a plus for the suitcase, but still powerful enough to blow dry my hair fast. I have short hair, and this sweet little dryer is all I need to dry and style my hair--no need for a comb or brush. It's no frills--only 2 speeds--high and low. But it does exactly what I need it to, and it does it fast!",8/27/2015,0.359693393, ,1.0,0.655082639,1.318080836,0.123287146,0.753950503,0.791210225,0.730128714,0.852291735
31,38,38,50141876,RO9KNA385PZML,B001LQY1X4,748065701,conair 1875 watt mid-size hair dryer,5,0,0,N,Y,Five Stars,No complaints,8/27/2015,-0.003439976, ,1.0,0.558755987,1.0,0.0,0.705118155,0.749076097,0.677013897,0.821138298
32,40,40,52417166,R1GNASF5UI5MFK,B0057HQ6C2,582752797,"pibbs ttec8012 twin turbo 3800 professional ionic and ceramic hair dryer, black, 2100 watt",5,0,1,N,Y,but it worked great. Dried my hair in about 15 minutes,"I have just used it once, but it worked great. Dried my hair in about 15 minutes.",8/27/2015,-0.084743827, ,1.0,0.537188903,1.0,0.0,0.698706261,0.743321999,0.670181444,0.816462554
33,41,41,42322138,R20ZGQIMYDIS4H,B0009XH6TG,47684938,"andis 1875-watt fold-n-go ionic hair dryer , silver/black (80020)",5,0,0,N,Y,Great hair dryer.,"Powerful, lots of fan settings, cold air button, and best of all, a retractable cord! I like the folding handle for traveling, too.Great product. I can blow my hair dry and blow out of here for a quick appointment!",8/27/2015,0.321083036, ,1.0,0.644840654,1.0,0.0,0.730711127,0.772043486,0.704285519,0.839801454
34,45,45,14338649,R2CNQVPGS12Q9U,B00132ZG3U,758099411,conair 1875 watt tourmaline ceramic hair dryer,5,0,0,N,Y,Five Stars,Very powerful. Dries my hair quickly.,8/26/2015,0.08406927, ,1.0,0.581969146,1.0,0.0,0.712019427,0.755269368,0.684367825,0.826170911
35,47,47,48428870,R2AVR4LDQJ9ZC3,B00VRN7SB8,253917972,remington silk ceramic professional hair dryer,5,0,0,Y,N,Really nice features in a blower dryer,"This is a very nice hair blow dryer.  The color is a lovely medium shade of pink that is in a matte tone versus a plastic looking shiny one.  The dryer comes with a diffuser which works well for my curly hair.  It has an unusual type of soft touch finish.  It doesn't feel slippery at all.  It fits well in the hand and the finish seems to be it fit a little more snug that others I have had before.<br /><br />The air filter is removable and be sure to clean it about once a week.  I destroyed a blow dryer by not cleaning the filter - it overheats the motor and kills it pretty quickly.  Along with the diffuser, there is a very narrow concentrator attachment which works really well if you need to put heat on a precise spot.  There are three heat settings and two speeds.  There is also a cool shot button for getting the air cool quickly as you are styling.<br /><br />The interesting thing about this blow dryer (apart from the finish) is that it is much quieter than others I have had.  My first thought was that it meant that it wasn't as powerful but that is not the case.  It works well and is not as loud.",8/26/2015,0.945068277, ,1.0,0.810362235,1.0,0.0,0.779920692,0.816204644,0.756722756,0.875686533
36,48,48,46032702,R3U2Q8FK78NL25,B003ICX810,415057628,pro beauty tools professional turbo hair dryer,5,0,0,N,Y,happy with product,Product is just as described. Super fast delivery,8/26/2015,0.161954741, ,1.0,0.602629452,1.0,0.0,0.718161736,0.760781538,0.69091301,0.830650065
37,49,49,17077054,R1VR5BNNT6O42J,B000H0XV3G,963066492,vidal sassoon vs547 1875w tourmaline ceramic hair dryer,4,0,0,N,Y,Good for the price,It's a good hair dryer for the price.  I do find that it smells like it's burning on High/Hot. I use it on warm and low so it's just fine for my needs.<br />I tried a SalonSalon hair dryer at a friends house which was fabulous - turns out it costs $169!  Way out of my budget. This one will probably last a year and then I'll probably buy another Sassoon tourmaline ceramic - helps keep the fly aways from flying away!,8/26/2015,0.427097397, ,0.75,0.672962577,1.0,0.0,0.604321774,0.629546416,0.588194544,0.670898287
38,50,50,48160709,R1NRG8W14M4CLG,B00SKQFT4I,593915883,xtava allure 2200w professional ionic ceramic hair dryer - bring the salon to your home with this powerful and precise blow dryer - 2 speeds - 3 heat settings (ebony),5,0,0,N,Y,Five Stars,This is a great hair dryer with loads of power.  It feels like a salon dryer.,8/26/2015,0.26771768, ,1.0,0.630684681,1.0,0.0,0.726502556,0.768266673,0.699800907,0.836732439
39,52,52,7755701,R3TK7ALY9OX6AU,B003L0LWYY,531585937,bed head hot head 1875w hair dryer for massive shine,5,0,0,N,Y,Five Stars,Cute and stylish,8/26/2015,0.069274258, ,1.0,0.578044544,1.0,0.0,0.710852643,0.754222284,0.683124512,0.825320057
40,55,55,11160296,RXTB7K8FZ2CUI,B00O0WRO08,486774008,"conair 1875 watt cord keeper 2-in-1 hair dryer, black",4,0,0,N,Y,Not bad!!,"Not a bad dryer! Yes, heavy, but sleek as can be and doesn't burn my hair.",8/25/2015,0.065941239, ,0.75,0.57716041,1.0,0.0,0.57583979,0.603986397,0.557844418,0.650128377
41,56,56,44681219,R2B9QSQYIMD9IQ,B00132ZG3U,758099411,conair 1875 watt tourmaline ceramic hair dryer,5,0,0,N,Y,Mom Loves It!,"I bought this for my girl to keep her from buying another Walmart bargain. I can tell it's quieter than most and she says it dries her hair faster. Nice lightweight unit, ergonomically designed. The cleanable filter on the back is a nice feature.",8/25/2015,0.103353407, ,1.0,0.587084557,1.0,0.0,0.713540239,0.75663416,0.685988388,0.827279932
42,57,57,49305973,R2CWOY8AIVXR78,B00132ZG3U,758099411,conair 1875 watt tourmaline ceramic hair dryer,5,0,0,N,Y,Five Stars,Bang for the buck very good. Good quality,8/25/2015,0.148805087, ,1.0,0.599141306,1.0,0.0,0.71712471,0.7598509,0.689807966,0.829893835
43,59,59,47273846,RGCXNOF41RJUV,B003FBG88E,195677102,conair pro styler ionic conditioning hair dryer,4,0,0,N,Y,It works,Less heat and more blow would be better,8/25/2015,0.114229124, ,0.75,0.589969506,1.0,0.0,0.579647934,0.607403864,0.56190234,0.652905389
44,61,61,33864168,R2MAVSNJJ62S54,B00SKQFT4I,593915883,xtava allure 2200w professional ionic ceramic hair dryer - bring the salon to your home with this powerful and precise blow dryer - 2 speeds - 3 heat settings (ebony),4,2,2,N,Y,Great Hairdryer,"Great Hairdryer, affordable price, delivery was quick, like the packaging and the extra hair drying tips you get by email. Wishing it had a little bit more power in the cool blast but no big deal. Im pleased that I bought this product to replace my old hairdryer which took 20mins to dry my hair, happy to say it has cut the timing of drying my long hair down to 8minutes and leaves my hair smooth enough not to use the GHD hair irons. Only major downside is that it is quite noisy.",8/24/2015,0.231618038, ,0.75,0.621108702,1.318080836,0.123287146,0.609100052,0.632145978,0.594365771,0.669926186
45,63,63,37126096,R1V4NOB6BPAQP7,B0027SU9JU,918034537,revlon 1875w volumizing turbo hair dryer,5,0,1,N,Y,Great,This dryer is exactly what I wanted very lightweight and does the job,8/24/2015,0.122595558, ,1.0,0.59218883,1.0,0.0,0.715057739,0.75799598,0.687605421,0.828386538
46,64,64,43251367,RJRW0RDNSZ6I1,B00SKQFT4I,593915883,xtava allure 2200w professional ionic ceramic hair dryer - bring the salon to your home with this powerful and precise blow dryer - 2 speeds - 3 heat settings (ebony),5,0,0,N,Y,This is the best dryer I have ever used,"This is the best dryer I have ever used. It isn't all that quiet, and though it's not really heavy, it is bigger than I'm used to and so still a bit unwieldy in my unpracticed hands, but it dries my thick, coarse, shoulder-length hair faster than any other device I have ever used. It also leaves my hair notably silkier and more manageable than other dryers. The Allure would seem to offer the benefits of an expensive professional tool at a surprisingly reasonable price. Hoping it holds up over time, and planning to purchase another to keep at my summer cottage.",8/24/2015,0.449792446, ,1.0,0.678982784,1.0,0.0,0.740861582,0.781152607,0.715101746,0.847203468
47,65,65,43649610,R6TDV0VZY8MJ2,B00132ZG3U,758099411,conair 1875 watt tourmaline ceramic hair dryer,5,0,0,N,Y,Great product.  My wife loves it.,"My wife is very happy with this hair dryer and she has very full, THICK hair!",8/24/2015,0.204490664, ,1.0,0.613912753,1.0,0.0,0.721516262,0.763791923,0.69448756,0.833096285
48,66,66,13327551,R19QC4I6XAFVRT,B0026ZD0WM,57056668,sunbeam 1632-040 global economizer hair dryer,4,0,0,N,Y,Four Stars,So far so good,8/24/2015,0.095277372, ,0.75,0.584942266,1.0,0.0,0.578153336,0.606062597,0.56030971,0.651815483
49,69,69,139034,R7GF4Y91VF0QF,B001AFFBCG,392681682,revlon 1875w compact travel hair dryer,4,0,0,N,Y,Four Stars,Good as expected,8/24/2015,0.073381247, ,0.75,0.579133985,1.0,0.0,0.576426534,0.604512947,0.558469646,0.650556248
50,70,70,35279206,R2UB31YAU4O9TO,B000BBGS40,588999286,"hot tools professional 800 watt ionic soft bonnet hair dryer, black & white",5,13,16,N,Y,Hot Tools bonnet dryer is compact & good brand. Remember the Dryer hose clicks into bonnet to stay hooked on.,"This is my third Hot Tools bonnet dryer in 25 years. I love it: highly recommend it. I, too had the bonnet constantly unhooking from the hose but realized after the second dryer that the bonnet has a notch inside the ring that clicks to keep the connected to the bonnet. The dryer does get very but with 4 heist settings I keep lower it after 10-15 minutes then every five.",8/24/2015,0.14906875, ,1.0,0.599211247,1.9409315280000001,0.364702143,0.776883715,0.808484356,0.756680026,0.860288687
51,71,71,51376596,R1JPB4C7WUPASJ,B0026ZD0WM,57056668,sunbeam 1632-040 global economizer hair dryer,5,0,0,N,Y,Quality and good looks.,"Nice quality, fairly quiet, nice looking and not too big.  I bought two.",8/23/2015,-0.022075682, ,1.0,0.553812582,1.0,0.0,0.703648481,0.747757197,0.675447826,0.820066568
52,72,72,27951590,R2O4W8PM98H3XE,B000XE6C3M,772841097,"ovente seductive ceramic ionic tourmaline lightweight professional hair dryer, red (3600)",5,0,0,N,Y,Five Stars,Very Much Worth It!,8/23/2015,0.088007964, ,1.0,0.583013945,1.0,0.0,0.712330046,0.755548121,0.684698818,0.826397423
53,74,74,15018460,R1BHICCLA0TLA3,B00BB8ZIW0,253917972,remington silk ceramic professional hair dryer,5,0,0,N,Y,Five Stars,Best blow dryer i have purchased in a long time,8/23/2015,0.032697372, ,1.0,0.568341968,1.0,0.0,0.707968067,0.751633637,0.680050735,0.823216539
54,75,75,15209903,R22CALOXJCOQOZ,B00MMRFUG8,127431946,"remington d3190a damage control ceramic hair dryer, ionic dryer, hair dryer, purple",5,0,0,Y,N,"Slightly Smaller and Lighter than its Predecessor. Quick Drying, No Fly-Away Hair.","I have been using an older model Remington hair dryer, and, while that model has held up well with daily use for over 3 years, this newer model is lighter weight and slightly smaller yet produces the same results as the old model.<br /><br />This Remington says that it has micro conditioners to prevent heat damage and increase hair shine. It also says that its ceramic technology prevents hair damage and dries hair faster.<br /><br />Since using the Remington hair dryers (daily) my hair (untreated and treated) do not show hair damage at all - no split ends, no dry/brittle, no fly-away. Whether this is attributable to the dryer or my hair product (changed when I started treating my hair), I cannot say. I use shampoo & conditioners about every other day and dry my hair every day.<br /><br />Dry time is fast. The new model doesn't seem to have a faster dry, but the dry time is pretty quick nonetheless. I do not use either attachment. This dryer comes with a diffuser (Remington caught flak with the last model not including a diffuser) and a directional blower. Both are standard plastic.<br /><br />Overall, this Remington dryer works well, dry well, and should last a number of years if it follows in previous models' footsteps. Very happy with the feel and results.",8/23/2015,0.875459036, ,1.0,0.791897324,1.0,0.0,0.774431075,0.811278206,0.750873072,0.87168334
55,77,77,41395106,RX4KK6EUQL2UU,B001AFFBCG,392681682,revlon 1875w compact travel hair dryer,5,0,0,N,Y,Five Stars,I love how compact it is and how amazing it works!!!,8/23/2015,0.131515578, ,1.0,0.594555001,1.0,0.0,0.715761202,0.758627274,0.688355024,0.828899524
56,78,78,12121525,R2XBF2DRY15JIU,B00SKQFT4I,593915883,xtava allure 2200w professional ionic ceramic hair dryer - bring the salon to your home with this powerful and precise blow dryer - 2 speeds - 3 heat settings (ebony),5,0,1,N,Y,Happy with this purchase.,"This is a great dryer for the price. I haven't noticed my strands being shiny or silky,  but the dryer dries quickly and isn't very loud.  I appreciate the different heat and speed settings. The barrel is longer than most other dryers I've used but it isn't hard to grip or control. It is boxed nicely and comes with a diffuser attachment. I would recommend this productIf you check out the pictures in other's reviews you'll see they have had luck with smooth, shiny hair. I have not gotten a chance to use it that much to see results and I've been using texturing product which also isn't conducive to smooth or shiny hair.",8/23/2015,0.512358376, ,1.0,0.695579349,1.0,0.0,0.74579574,0.78558057,0.720359538,0.850801603
57,79,79,36636816,R2NIAGVHHIJBYH,B0009XH6TG,47684938,"andis 1875-watt fold-n-go ionic hair dryer , silver/black (80020)",4,0,0,N,Y,Big and heavy,"It's not that small, and quite heavy. It works reall well! But not really portable, or light enough to be a travel dryer.",8/23/2015,0.188413104, ,0.75,0.609647936,1.0,0.0,0.585498331,0.612654069,0.568136466,0.657171673
58,80,80,793739,R3NYBF74UO3OLT,B000S8JB36,276205451,"herstyler pro-fusion dryer – negative ion technology, far infrared heat, ergonomic design – best hair dryer – professional quality",5,0,0,N,Y,Five Stars,Good experience will order again,8/22/2015,0.019723261, ,1.0,0.564900388,1.0,0.0,0.706944885,0.750715424,0.678960443,0.822470404
59,82,82,31047016,R1EESPDTO6C4EE,B001UE7D2I,127343313,andis 1875-watt tourmaline ceramic ionic styling hair dryer,5,0,0,N,Y,Five Stars,Great blow dryer !!!!,8/22/2015,0.0735667, ,1.0,0.579183179,1.0,0.0,0.711191159,0.754526072,0.683485231,0.825566913
60,83,83,3683375,R3PLPPJMD961Z0,B00O0WRO08,486774008,"conair 1875 watt cord keeper 2-in-1 hair dryer, black",5,0,0,N,Y,Great price!! Great dryer,Great for the price!! Glad I didn't spend hundreds like I've seen on others!! Love it!!,8/22/2015,0.157419162, ,1.0,0.601426321,1.0,0.0,0.717804045,0.760460542,0.690531858,0.830389226
61,85,85,22818653,RIGRO8YAV5XL6,B0012HEGCI,66259499,hot tools tourmaline ionic standing hair dryer hood rolling salon wheels stand,5,1,1,N,Y,Get the salon feel at home with the Hot Tools Tourmaline Standing Hair Dryer,"My purchase of the Hot Tools Tourmaline Ionic Standing Hair Dryer was a great investment. I love the purple and black color. It has two heat settings, high and low. Two speed settings, high and low, and it has an on/off ionic knob. It has an adjustable pole which is great when you have more than one person using it. It also has wheels so it is easy for me to roll it around the house. This is much better that the hooded dryer that I had to sit on the table and find a chair low enough so I could fit under the hood. I use my dryer on a weekly basis. The hood is very roomy and has a flip up front. I can dry my hair with large rollers with no problem. Now I can get the salon feel of the hair dryer at home.",8/22/2015,0.704052834, ,1.0,0.746429221,1.150514998,0.058339145999999995,0.77046936,0.806923924,0.747162343,0.866685506
62,87,87,5937828,R19CPR1IAL5XFP,B000A3I2X4,235105995,"revlon essentials 1875w fast dry hair dryer, rv408",5,0,0,N,Y,Best ever,Best one,8/22/2015,-0.000449068, ,1.0,0.559549371,1.0,0.0,0.705354028,0.749287772,0.677265241,0.821310304
63,88,88,49949511,R6SBBM9ZB8U9W,B002GQMTAK,955015830,"revlon 1875w rectractable cord, fold & go hair dryer",5,0,1,N,Y,Love it!,"This had terrible reviews but it was the only one I could find with the 3 things I wanted: diffuser, retractable cord, and folding handle. I figured for the price it was with a try. I'm so glad I did because I love it! I don't understand the negative reviews. It dries my hair quickly and my very curly hair looks great!",8/22/2015,0.152728224, ,1.0,0.600181978,1.0,0.0,0.717434102,0.760128552,0.690137651,0.830119453
64,89,89,20789642,RUYUENHPSLBUL,B00MMRFUG8,127431946,"remington d3190a damage control ceramic hair dryer, ionic dryer, hair dryer, purple",5,0,0,Y,N,Cuts Hair Drying in Half!,We have just gotten rid of all the hair dryers in the house to try some new ones (the last ones should have been thrown out years ago) and this one works great. My wife and daughter have very kinky curl hair and it takes time to dry their hair but this product cuts that time in half which is great. Very strong firm hair dryer that feels high end upon picking it up(although very affordable looking at the price). My daughter has taken over this one in her bathroom (she loves the color purple) so we have let her take possession of this one.<br /><br />Great hair dryer that you would expect to see at a high end salon.,8/22/2015,0.573439461, ,1.0,0.711782036,1.0,0.0,0.750612799,0.789903447,0.725492549,0.854314345
65,91,91,137113,R1F9U7LHF7K0TZ,B00MMRFUG8,127431946,"remington d3190a damage control ceramic hair dryer, ionic dryer, hair dryer, purple",5,1,1,N,Y,my new favorite hair dryer,Absolutely the best hair dryer I've ever owned hands down!!!! I love this dryer so freakin fast it's amazing. Came in less than a weeks time. Very pleased!,8/22/2015,0.251455829, ,1.0,0.626370978,1.150514998,0.058339145999999995,0.734776044,0.774892385,0.709127891,0.840656879
