,V1,Unnamed0,customer_id,review_id,product_id,product_parent,product_title,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date,score,export,Star normalization,Normalization of comment scores,Help rating weights,Help normalize rating weights,Total score
10,16,16,43455810,R3GR9RB60NKBG0,B0012DL8B4,897437023,conair vagabond folding handle 1875 watt compact hair dryer 1 ea,5,0,0,N,Y,Five Stars,Perfect for travel.,8/29/2015,0.057246874, ,1.0,0.574854097,1.0,0.0,0.709904123
11,17,17,10601291,R2S51H4FUT53NR,B000XE6C3M,772841097,"ovente seductive ceramic ionic tourmaline lightweight professional hair dryer, red (3600)",5,0,0,N,Y,Five Stars,thanks,8/29/2015,0.019048195, ,1.0,0.564721316,1.0,0.0,0.706891647
12,19,19,16030865,R3GELVX38EM91L,B000RZLL38,983445543,oster tourmaline wall mount hair dryer 76932-710,5,0,0,N,Y,Works just like the ones in the hotels.,"So handy, works great, frees up counter top space in my small bathroom.",8/29/2015,0.087177133, ,1.0,0.582793554,1.0,0.0,0.712264524
13,20,20,28248079,ROMFVXSLZP6HW,B003V264WW,732252283,"remington ac2015 t|studio salon collection pearl ceramic hair dryer, deep purple",5,0,0,N,Y,I am obsessed,"After using the same blowdryer for probably 8-10years, I decided to upgrade to a new one. I have very thick (*VERY THICK!*) moderately wavy shoulder length hair. Due to my hair thickness, drying times were typically 30-45minutes. I wish I was joking. This dryer dries completely in under 15 minutes (about 10-12minutes more precisely). I am so thrilled with this dryer!! Can't say enough good things about it! I like the texture of the dryer itself, love the speed of drying and the cord is long enough to actually be able to use it! SCORE!",8/29/2015,0.235547403, ,1.0,0.622151026,1.0,0.0,0.7239655
14,21,21,15040037,R1MNTJKIK8FETW,B0001B86HM,805407843,"conair pro styler bonnet hair dryer, white",5,0,0,N,Y,Works great. Just wish it had a medium setting,Works great.  Just wish it had a medium setting.,8/29/2015,0.111880329, ,1.0,0.589346453,1.0,0.0,0.7142127
15,22,22,39094191,R1PVX4QFWHMCWO,B003FBG88E,195677102,conair pro styler ionic conditioning hair dryer,5,0,0,N,Y,No complaints!,"I blowdry my hair at least 3 times a week and I was using a really, really old, cheap, bulky one to get the job done. This dryer gets the job done a lot better! It's smaller, lighter, more ergonomic if you will, and dries my long, thick hair (not always a good thing!) reasonably quick! Great purchase, as long as it lasts as long as my old ones did :)",8/29/2015,0.102959936, ,1.0,0.586980183,1.0,0.0,0.713509208
16,23,23,49609338,RSJM2TUS1RV7B,B00JXQ06X8,619941271,bed head curls in check 1875 watt diffuser hair dryer,5,0,0,N,Y,Five Stars,"Love this, keeps my curls nice and not frizzes out.",8/29/2015,0.00946373, ,1.0,0.562178891,1.0,0.0,0.706135784
17,25,25,32500930,REOAJPZWKR6K9,B00VRN7SB8,253917972,remington silk ceramic professional hair dryer,5,0,0,Y,N,Great Hair Dryer,"This is a really nice hair dryer from Remington. The handle and controls  are very ergonomic, and the head is well balanced so that it doesn't get to be a chore handling it. The heat settings are what you'd expect, and the dryer does a good job of getting your hair dry fast without too much static buildup. What I really like about this dryer is the generous cord length and the ability to hand the dryer from a hook. The attachments fit well, but the diffuser attachment comes in the handiest as always.",8/28/2015,0.419866591, ,1.0,0.671044495,1.0,0.0,0.738501528
18,27,27,16117804,R1CH89SEVYIHW0,B0057HQ6C2,582752797,"pibbs ttec8012 twin turbo 3800 professional ionic and ceramic hair dryer, black, 2100 watt",5,0,0,N,Y,Well worth the money!,Amazing amount of air that comes out of it! My wife and I love it... My waiting time to go out is cut in more than half!! Highly recommended. Feels solid like you are getting your money's worth. Has a nice long cord too..,8/28/2015,0.106198805, ,1.0,0.587839342,1.0,0.0,0.713764636
19,29,29,2591476,R1PCG4HG8GZJBE,B007ROD3O2,614083399,"salon sundry professional bonnet style hood 1,000 watt salon hair dryer - multiple colors available",5,0,0,N,Y,Five Stars,"This item it's been working perfectly fine, I'm glad i ordered!!",8/28/2015,0.079845331, ,1.0,0.580848682,1.0,0.0,0.711686313
20,30,30,10881188,R38Q9W9BNZN2C4,B0009XH6V4,670161917,andis micro turbo hair dryer,5,0,0,N,Y,Great little dryer!,It is so hard to find a small blowdryer. I'm very happy with this!,8/28/2015,0.152367962, ,1.0,0.600086413,1.0,0.0,0.717405691
21,31,31,16209825,R1WXXPRNQWE7Y6,B0009XH6WI,197856712,andis 1600w quiet hangup hair dryer with night light,5,0,0,N,Y,Perfect,Perfect,8/28/2015,0.019048195, ,1.0,0.564721316,1.0,0.0,0.706891647
22,32,32,15821693,R3SS843K1CWOIY,B0009XH6TG,47684938,"andis 1875-watt fold-n-go ionic hair dryer , silver/black (80020)",5,0,0,N,Y,Five Stars,Great dryer.,8/28/2015,0.055538351, ,1.0,0.574400885,1.0,0.0,0.709769383
23,33,33,22054162,R1CBKQKQYW50UX,B003FBG88E,195677102,conair pro styler ionic conditioning hair dryer,5,0,0,N,Y,Great blow dryer,looks exactly as in photo. light weight and works like a charm. would definitely recommend,8/27/2015,0.221193603, ,1.0,0.618343462,1.0,0.0,0.722833511
24,34,34,42192723,R3DTN85N6X9SIS,B00006IV22,357308868,conair 1875 watt dual voltage folding handle hair dryer,5,0,0,N,Y,Great dryer for travel,Small and strong.  Great dryer for travel.  Also has dual voltage.  Glad I bought it!,8/27/2015,0.226667527, ,1.0,0.619795504,1.0,0.0,0.723265203
25,36,36,15701257,R24QP0W6EEOHUS,B000RZLL38,983445543,oster tourmaline wall mount hair dryer 76932-710,5,0,0,N,Y,was easy to mount on the wall,"Seems to be working well, was easy to mount on the wall.",8/27/2015,0.065451857, ,1.0,0.577030594,1.0,0.0,0.710551196
26,37,37,47174340,RLQUFMAV4PDJV,B0009XH6V4,670161917,andis micro turbo hair dryer,5,2,2,N,Y,"Petite, but Powerful Performance","This is the 2nd time I bought this little hair dryer because I like it so much. My first one finally bit the dust after about 3 years. It's very small and lightweight--a plus for the suitcase, but still powerful enough to blow dry my hair fast. I have short hair, and this sweet little dryer is all I need to dry and style my hair--no need for a comb or brush. It's no frills--only 2 speeds--high and low. But it does exactly what I need it to, and it does it fast!",8/27/2015,0.359693393, ,1.0,0.655082639,1.318080836,0.123287146,0.753950503
27,38,38,50141876,RO9KNA385PZML,B001LQY1X4,748065701,conair 1875 watt mid-size hair dryer,5,0,0,N,Y,Five Stars,No complaints,8/27/2015,-0.003439976, ,1.0,0.558755987,1.0,0.0,0.705118155
28,40,40,52417166,R1GNASF5UI5MFK,B0057HQ6C2,582752797,"pibbs ttec8012 twin turbo 3800 professional ionic and ceramic hair dryer, black, 2100 watt",5,0,1,N,Y,but it worked great. Dried my hair in about 15 minutes,"I have just used it once, but it worked great. Dried my hair in about 15 minutes.",8/27/2015,-0.084743827, ,1.0,0.537188903,1.0,0.0,0.698706261
29,41,41,42322138,R20ZGQIMYDIS4H,B0009XH6TG,47684938,"andis 1875-watt fold-n-go ionic hair dryer , silver/black (80020)",5,0,0,N,Y,Great hair dryer.,"Powerful, lots of fan settings, cold air button, and best of all, a retractable cord! I like the folding handle for traveling, too.Great product. I can blow my hair dry and blow out of here for a quick appointment!",8/27/2015,0.321083036, ,1.0,0.644840654,1.0,0.0,0.730711127
30,45,45,14338649,R2CNQVPGS12Q9U,B00132ZG3U,758099411,conair 1875 watt tourmaline ceramic hair dryer,5,0,0,N,Y,Five Stars,Very powerful. Dries my hair quickly.,8/26/2015,0.08406927, ,1.0,0.581969146,1.0,0.0,0.712019427
31,47,47,48428870,R2AVR4LDQJ9ZC3,B00VRN7SB8,253917972,remington silk ceramic professional hair dryer,5,0,0,Y,N,Really nice features in a blower dryer,"This is a very nice hair blow dryer.  The color is a lovely medium shade of pink that is in a matte tone versus a plastic looking shiny one.  The dryer comes with a diffuser which works well for my curly hair.  It has an unusual type of soft touch finish.  It doesn't feel slippery at all.  It fits well in the hand and the finish seems to be it fit a little more snug that others I have had before.<br /><br />The air filter is removable and be sure to clean it about once a week.  I destroyed a blow dryer by not cleaning the filter - it overheats the motor and kills it pretty quickly.  Along with the diffuser, there is a very narrow concentrator attachment which works really well if you need to put heat on a precise spot.  There are three heat settings and two speeds.  There is also a cool shot button for getting the air cool quickly as you are styling.<br /><br />The interesting thing about this blow dryer (apart from the finish) is that it is much quieter than others I have had.  My first thought was that it meant that it wasn't as powerful but that is not the case.  It works well and is not as loud.",8/26/2015,0.945068277, ,1.0,0.810362235,1.0,0.0,0.779920692
32,48,48,46032702,R3U2Q8FK78NL25,B003ICX810,415057628,pro beauty tools professional turbo hair dryer,5,0,0,N,Y,happy with product,Product is just as described. Super fast delivery,8/26/2015,0.161954741, ,1.0,0.602629452,1.0,0.0,0.718161736
33,50,50,48160709,R1NRG8W14M4CLG,B00SKQFT4I,593915883,xtava allure 2200w professional ionic ceramic hair dryer - bring the salon to your home with this powerful and precise blow dryer - 2 speeds - 3 heat settings (ebony),5,0,0,N,Y,Five Stars,This is a great hair dryer with loads of power.  It feels like a salon dryer.,8/26/2015,0.26771768, ,1.0,0.630684681,1.0,0.0,0.726502556
34,52,52,7755701,R3TK7ALY9OX6AU,B003L0LWYY,531585937,bed head hot head 1875w hair dryer for massive shine,5,0,0,N,Y,Five Stars,Cute and stylish,8/26/2015,0.069274258, ,1.0,0.578044544,1.0,0.0,0.710852643
35,56,56,44681219,R2B9QSQYIMD9IQ,B00132ZG3U,758099411,conair 1875 watt tourmaline ceramic hair dryer,5,0,0,N,Y,Mom Loves It!,"I bought this for my girl to keep her from buying another Walmart bargain. I can tell it's quieter than most and she says it dries her hair faster. Nice lightweight unit, ergonomically designed. The cleanable filter on the back is a nice feature.",8/25/2015,0.103353407, ,1.0,0.587084557,1.0,0.0,0.713540239
36,57,57,49305973,R2CWOY8AIVXR78,B00132ZG3U,758099411,conair 1875 watt tourmaline ceramic hair dryer,5,0,0,N,Y,Five Stars,Bang for the buck very good. Good quality,8/25/2015,0.148805087, ,1.0,0.599141306,1.0,0.0,0.71712471
37,63,63,37126096,R1V4NOB6BPAQP7,B0027SU9JU,918034537,revlon 1875w volumizing turbo hair dryer,5,0,1,N,Y,Great,This dryer is exactly what I wanted very lightweight and does the job,8/24/2015,0.122595558, ,1.0,0.59218883,1.0,0.0,0.715057739
38,64,64,43251367,RJRW0RDNSZ6I1,B00SKQFT4I,593915883,xtava allure 2200w professional ionic ceramic hair dryer - bring the salon to your home with this powerful and precise blow dryer - 2 speeds - 3 heat settings (ebony),5,0,0,N,Y,This is the best dryer I have ever used,"This is the best dryer I have ever used. It isn't all that quiet, and though it's not really heavy, it is bigger than I'm used to and so still a bit unwieldy in my unpracticed hands, but it dries my thick, coarse, shoulder-length hair faster than any other device I have ever used. It also leaves my hair notably silkier and more manageable than other dryers. The Allure would seem to offer the benefits of an expensive professional tool at a surprisingly reasonable price. Hoping it holds up over time, and planning to purchase another to keep at my summer cottage.",8/24/2015,0.449792446, ,1.0,0.678982784,1.0,0.0,0.740861582
39,65,65,43649610,R6TDV0VZY8MJ2,B00132ZG3U,758099411,conair 1875 watt tourmaline ceramic hair dryer,5,0,0,N,Y,Great product.  My wife loves it.,"My wife is very happy with this hair dryer and she has very full, THICK hair!",8/24/2015,0.204490664, ,1.0,0.613912753,1.0,0.0,0.721516262
40,70,70,35279206,R2UB31YAU4O9TO,B000BBGS40,588999286,"hot tools professional 800 watt ionic soft bonnet hair dryer, black & white",5,13,16,N,Y,Hot Tools bonnet dryer is compact & good brand. Remember the Dryer hose clicks into bonnet to stay hooked on.,"This is my third Hot Tools bonnet dryer in 25 years. I love it: highly recommend it. I, too had the bonnet constantly unhooking from the hose but realized after the second dryer that the bonnet has a notch inside the ring that clicks to keep the connected to the bonnet. The dryer does get very but with 4 heist settings I keep lower it after 10-15 minutes then every five.",8/24/2015,0.14906875, ,1.0,0.599211247,1.9409315280000001,0.364702143,0.776883715
41,71,71,51376596,R1JPB4C7WUPASJ,B0026ZD0WM,57056668,sunbeam 1632-040 global economizer hair dryer,5,0,0,N,Y,Quality and good looks.,"Nice quality, fairly quiet, nice looking and not too big.  I bought two.",8/23/2015,-0.022075682, ,1.0,0.553812582,1.0,0.0,0.703648481
42,72,72,27951590,R2O4W8PM98H3XE,B000XE6C3M,772841097,"ovente seductive ceramic ionic tourmaline lightweight professional hair dryer, red (3600)",5,0,0,N,Y,Five Stars,Very Much Worth It!,8/23/2015,0.088007964, ,1.0,0.583013945,1.0,0.0,0.712330046
43,74,74,15018460,R1BHICCLA0TLA3,B00BB8ZIW0,253917972,remington silk ceramic professional hair dryer,5,0,0,N,Y,Five Stars,Best blow dryer i have purchased in a long time,8/23/2015,0.032697372, ,1.0,0.568341968,1.0,0.0,0.707968067
44,75,75,15209903,R22CALOXJCOQOZ,B00MMRFUG8,127431946,"remington d3190a damage control ceramic hair dryer, ionic dryer, hair dryer, purple",5,0,0,Y,N,"Slightly Smaller and Lighter than its Predecessor. Quick Drying, No Fly-Away Hair.","I have been using an older model Remington hair dryer, and, while that model has held up well with daily use for over 3 years, this newer model is lighter weight and slightly smaller yet produces the same results as the old model.<br /><br />This Remington says that it has micro conditioners to prevent heat damage and increase hair shine. It also says that its ceramic technology prevents hair damage and dries hair faster.<br /><br />Since using the Remington hair dryers (daily) my hair (untreated and treated) do not show hair damage at all - no split ends, no dry/brittle, no fly-away. Whether this is attributable to the dryer or my hair product (changed when I started treating my hair), I cannot say. I use shampoo & conditioners about every other day and dry my hair every day.<br /><br />Dry time is fast. The new model doesn't seem to have a faster dry, but the dry time is pretty quick nonetheless. I do not use either attachment. This dryer comes with a diffuser (Remington caught flak with the last model not including a diffuser) and a directional blower. Both are standard plastic.<br /><br />Overall, this Remington dryer works well, dry well, and should last a number of years if it follows in previous models' footsteps. Very happy with the feel and results.",8/23/2015,0.875459036, ,1.0,0.791897324,1.0,0.0,0.774431075
45,77,77,41395106,RX4KK6EUQL2UU,B001AFFBCG,392681682,revlon 1875w compact travel hair dryer,5,0,0,N,Y,Five Stars,I love how compact it is and how amazing it works!!!,8/23/2015,0.131515578, ,1.0,0.594555001,1.0,0.0,0.715761202
46,78,78,12121525,R2XBF2DRY15JIU,B00SKQFT4I,593915883,xtava allure 2200w professional ionic ceramic hair dryer - bring the salon to your home with this powerful and precise blow dryer - 2 speeds - 3 heat settings (ebony),5,0,1,N,Y,Happy with this purchase.,"This is a great dryer for the price. I haven't noticed my strands being shiny or silky,  but the dryer dries quickly and isn't very loud.  I appreciate the different heat and speed settings. The barrel is longer than most other dryers I've used but it isn't hard to grip or control. It is boxed nicely and comes with a diffuser attachment. I would recommend this productIf you check out the pictures in other's reviews you'll see they have had luck with smooth, shiny hair. I have not gotten a chance to use it that much to see results and I've been using texturing product which also isn't conducive to smooth or shiny hair.",8/23/2015,0.512358376, ,1.0,0.695579349,1.0,0.0,0.74579574
47,80,80,793739,R3NYBF74UO3OLT,B000S8JB36,276205451,"herstyler pro-fusion dryer – negative ion technology, far infrared heat, ergonomic design – best hair dryer – professional quality",5,0,0,N,Y,Five Stars,Good experience will order again,8/22/2015,0.019723261, ,1.0,0.564900388,1.0,0.0,0.706944885
48,82,82,31047016,R1EESPDTO6C4EE,B001UE7D2I,127343313,andis 1875-watt tourmaline ceramic ionic styling hair dryer,5,0,0,N,Y,Five Stars,Great blow dryer !!!!,8/22/2015,0.0735667, ,1.0,0.579183179,1.0,0.0,0.711191159
49,83,83,3683375,R3PLPPJMD961Z0,B00O0WRO08,486774008,"conair 1875 watt cord keeper 2-in-1 hair dryer, black",5,0,0,N,Y,Great price!! Great dryer,Great for the price!! Glad I didn't spend hundreds like I've seen on others!! Love it!!,8/22/2015,0.157419162, ,1.0,0.601426321,1.0,0.0,0.717804045
50,85,85,22818653,RIGRO8YAV5XL6,B0012HEGCI,66259499,hot tools tourmaline ionic standing hair dryer hood rolling salon wheels stand,5,1,1,N,Y,Get the salon feel at home with the Hot Tools Tourmaline Standing Hair Dryer,"My purchase of the Hot Tools Tourmaline Ionic Standing Hair Dryer was a great investment. I love the purple and black color. It has two heat settings, high and low. Two speed settings, high and low, and it has an on/off ionic knob. It has an adjustable pole which is great when you have more than one person using it. It also has wheels so it is easy for me to roll it around the house. This is much better that the hooded dryer that I had to sit on the table and find a chair low enough so I could fit under the hood. I use my dryer on a weekly basis. The hood is very roomy and has a flip up front. I can dry my hair with large rollers with no problem. Now I can get the salon feel of the hair dryer at home.",8/22/2015,0.704052834, ,1.0,0.746429221,1.150514998,0.058339145999999995,0.77046936
51,87,87,5937828,R19CPR1IAL5XFP,B000A3I2X4,235105995,"revlon essentials 1875w fast dry hair dryer, rv408",5,0,0,N,Y,Best ever,Best one,8/22/2015,-0.000449068, ,1.0,0.559549371,1.0,0.0,0.705354028
52,88,88,49949511,R6SBBM9ZB8U9W,B002GQMTAK,955015830,"revlon 1875w rectractable cord, fold & go hair dryer",5,0,1,N,Y,Love it!,"This had terrible reviews but it was the only one I could find with the 3 things I wanted: diffuser, retractable cord, and folding handle. I figured for the price it was with a try. I'm so glad I did because I love it! I don't understand the negative reviews. It dries my hair quickly and my very curly hair looks great!",8/22/2015,0.152728224, ,1.0,0.600181978,1.0,0.0,0.717434102
53,89,89,20789642,RUYUENHPSLBUL,B00MMRFUG8,127431946,"remington d3190a damage control ceramic hair dryer, ionic dryer, hair dryer, purple",5,0,0,Y,N,Cuts Hair Drying in Half!,We have just gotten rid of all the hair dryers in the house to try some new ones (the last ones should have been thrown out years ago) and this one works great. My wife and daughter have very kinky curl hair and it takes time to dry their hair but this product cuts that time in half which is great. Very strong firm hair dryer that feels high end upon picking it up(although very affordable looking at the price). My daughter has taken over this one in her bathroom (she loves the color purple) so we have let her take possession of this one.<br /><br />Great hair dryer that you would expect to see at a high end salon.,8/22/2015,0.573439461, ,1.0,0.711782036,1.0,0.0,0.750612799
54,91,91,137113,R1F9U7LHF7K0TZ,B00MMRFUG8,127431946,"remington d3190a damage control ceramic hair dryer, ionic dryer, hair dryer, purple",5,1,1,N,Y,my new favorite hair dryer,Absolutely the best hair dryer I've ever owned hands down!!!! I love this dryer so freakin fast it's amazing. Came in less than a weeks time. Very pleased!,8/22/2015,0.251455829, ,1.0,0.626370978,1.150514998,0.058339145999999995,0.734776044
55,92,92,13627408,RHF4JD5B0L6D0,B000A3I2X4,235105995,"revlon essentials 1875w fast dry hair dryer, rv408",5,0,0,N,Y,Love it,So far so good.,8/22/2015,0.095277372, ,1.0,0.584942266,1.0,0.0,0.712903336
56,94,94,44761264,R1D72NF092PCWS,B00132ZG3U,758099411,conair 1875 watt tourmaline ceramic hair dryer,5,0,0,N,Y,Five Stars,Nice quality.,8/21/2015,0.06072517, ,1.0,0.575776768,1.0,0.0,0.710178433
57,98,98,14698506,R36VT59GYKQGCS,B00SKQFT4I,593915883,xtava allure 2200w professional ionic ceramic hair dryer - bring the salon to your home with this powerful and precise blow dryer - 2 speeds - 3 heat settings (ebony),5,0,2,N,Y,Five Stars,works great ! love it!,8/21/2015,0.120855317, ,1.0,0.591727205,1.0,0.0,0.714920498
58,99,99,44860250,R2MZ0FT53TI9TL,B0009XH6TG,47684938,"andis 1875-watt fold-n-go ionic hair dryer , silver/black (80020)",5,0,0,N,Y,Five Stars,This thing is still going almost a year later,8/21/2015,-0.047025032, ,1.0,0.547194387,1.0,0.0,0.701680891
59,100,100,3200447,R207IJ21PGITYM,B002GQMTAK,955015830,"revlon 1875w rectractable cord, fold & go hair dryer",5,0,0,N,Y,The speed and heat settings are wonderful.,"The speed and heat settings are wonderful. I don't get that gross feeling like it is burning my hair, or blowing it insanely, like with other blow driers. It is very convenient for storage.",8/21/2015,0.299809899, ,1.0,0.639197631,1.0,0.0,0.729033456
60,102,102,44761264,R399N16CXG9PT2,B003V264WW,732252283,"remington ac2015 t|studio salon collection pearl ceramic hair dryer, deep purple",5,0,0,N,Y,Five Stars,Nice quality.,8/21/2015,0.06072517, ,1.0,0.575776768,1.0,0.0,0.710178433
61,103,103,20049581,R1PLCZJDZBCRD9,B009ZPMPGI,711329162,conair 1875 watt ionic conditioning cord-keeper folding handle hair dryer,5,0,0,N,Y,Five Stars,Works just fine.  No problems.,8/21/2015,0.078410428, ,1.0,0.580468052,1.0,0.0,0.711573152
62,104,104,10542075,R1YTXAE8T6UW7C,B001L0EDGK,453645026,turbo power 1500 hair dryer,5,0,0,N,Y,Five Stars,Excellent  hair dryer,8/21/2015,0.070530151, ,1.0,0.578377689,1.0,0.0,0.710951687
63,105,105,11819171,R49CM7C5YRR97,B00006IV22,357308868,conair 1875 watt dual voltage folding handle hair dryer,5,0,0,N,Y,Best Hair Dryer,"This is one of the best hair dryer you will probably ever find. It is very powerful and dries my hair quite quickly. Plus the folding design makes it easy to stash away. In addition, it's relatively small so it's not taking up a ton of room in your suitcase. A win all around.",8/21/2015,0.229214473, ,1.0,0.62047112,1.0,0.0,0.723466064
64,106,106,31892953,R1XV1I003MONZH,B0009XH6V4,670161917,andis micro turbo hair dryer,5,0,0,N,Y,Perfect little dryer,"I love this little hair dryer. I have arthritis and the larger dryers are hard to manipulate. I also have short, thin hair so this little dryer makes it easier to use a roll brush at the same time. I wouldn't recommend it for someone with thicker hair as the heat is not as strong or powerful as an 1875 but it's great for me.",8/20/2015,0.389436481, ,1.0,0.662972446,1.0,0.0,0.736101708
65,107,107,831103,R1H4LZNN7KLR95,B00006IV22,357308868,conair 1875 watt dual voltage folding handle hair dryer,5,0,0,N,Y,Color me surprised!,"Holy cow...maybe it's because my old dryer died 6 weeks ago and I haven't blow dried since (what can I say?  It's hot and I'm too lazy to fancy up in the summer) but WOW this thing works fast.  It's cute, it's small, but it packs a punch!",8/20/2015,0.058422218, ,1.0,0.575165875,1.0,0.0,0.709996815
66,109,109,23884578,R1V6FYMJU478XS,B003FBG88E,195677102,conair pro styler ionic conditioning hair dryer,5,0,0,N,Y,Five Stars,cool speed is perfect for my hair.  no frizz or dryness,8/20/2015,0.092647294, ,1.0,0.584244597,1.0,0.0,0.712695919
67,112,112,28629855,R2UITL03LISL5B,B000FS1W4U,235105995,"revlon essentials 1875w fast dry hair dryer, rv408",5,0,0,N,Y,Five Stars,It's good. I like 3 level of heat.,8/20/2015,0.025973346, ,1.0,0.566558318,1.0,0.0,0.707437788
68,114,114,152043,R2FRB34VLWCLYY,B001QTW2FK,328811288,conair minipro tourmaline ceramic styler / hair dryer; pink,5,2,2,N,Y,Five Stars,"I love my hot pink mini-pro, so lightweight and Powerful!  The super cute tote bag is a plus!  Perfect for travel but I use mine everyday.  I didn't think it would be as good as my big, clunky, heavy dryer, but this little baby gets HOT, has a lower setting also.  I have shoulder/ hand issues and now they don't hurt when I blow dry my hair!  Love it!!",8/20/2015,0.428056521, ,1.0,0.673216999,1.318080836,0.123287146,0.759341848
69,116,116,15973330,R3UDNY7MS25YUK,B00006IV22,357308868,conair 1875 watt dual voltage folding handle hair dryer,5,0,0,N,Y,Five Stars,Excellent product.,8/20/2015,0.05519713, ,1.0,0.574310372,1.0,0.0,0.709742473
70,118,118,10850937,R3HVP5OZQEH6UK,B000H0XV3G,963066492,vidal sassoon vs547 1875w tourmaline ceramic hair dryer,5,0,0,N,Y,Vidal Sasson VS547,"I bought this for my sister for her to use it for college. it came really fast, she loves it and it's very affordable. thank you. 😊",8/20/2015,0.213177943, ,1.0,0.616217186,1.0,0.0,0.722201369
71,119,119,52632524,R1UU61RBM66JSV,B00MMRFUG8,127431946,"remington d3190a damage control ceramic hair dryer, ionic dryer, hair dryer, purple",4,2,3,Y,N,Variable heat and speeds -- Excellent safety features.,"Excellent hair dryer with some good features.  Some of these features seem to be from a marketer's mind rather than real.  It won't fix damaged hair...whatever that means.  It won't make your hair shinier, healthier, or improve your already good looks.  However, in real world day-to-day use it is very capable and effective at drying and styling.<br /><br />It feels solid and well built without being too hefty.  It has very solid cord connectors and circuit breaker protection built into the plug...excellent safety features!  The handle and controls are very well placed for ease of use.  They stay cool to the touch during use.  It has 2 speeds and 3 heat settings.  Low speed and low heat works best for us. It puts out a huge amount of hot air at high heat and high speed.  It has a cool air blow feature which is good for finishing the drying process.  It has a couple of attachments, a concentrator and diffuser, which you may find useful.  It definitely is not portable though it is transportable if weight is not an issue.<br /><br />Hair dryers are a commodity and there are a lot of choices.  This unit stands out in a crowded field and should work for almost all hair drying and styling situations and requirements.",8/19/2015,1.179306126, ,0.75,0.872497389,1.301029996,0.116678293,0.682755378
72,120,120,1387514,RA5LX3D3TMOXL,B007ROD3O2,614083399,"salon sundry professional bonnet style hood 1,000 watt salon hair dryer - multiple colors available",5,0,0,N,Y,Five Stars,I just love it,8/19/2015,0.057545054, ,1.0,0.574933194,1.0,0.0,0.709927639
