,Unnamed: 0,Unnamed: 0.1,customer_id,review_id,product_id,product_parent,product_title,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date,score,export,Total score
19,34,34,48862363,R17Z5LA3XNPOSX,B00EU7AMX4,991090482,ge pvm9179sfss profile 1.7 cu. ft. stainless steel over-the-range microwave - convection,5,0,1,N,Y,What a great unit! Took some fiddling to install but the ...,What a great unit!  Took some fiddling to install but the unit itself is really very nice.,8/18/2015,0.082184113,,0.77
20,35,35,13408354,R1V1MIFZU32A97,B005GSZB7I,827502283,"whirlpool stainless look countertop microwave, 0.5 cu. feet, wmc20005yd",5,3,3,N,Y,The fabuous whirlpool mini!,"I had found a small blue cube micro wave some years ago.  After 16 years of service it finally wore out.  I love the cube shape and took a risk on ordering this little gem.  I couldn't be happier.  It is the great same size, the outside is fabulous and it has more power than the last microwave. Would not hesitate to purchase this again! Totally worth the price.",8/18/2015,0.46601711700000004,,0.82
21,36,36,43476708,R33HSAVWTVNLG6,B00NG0FP7E,565072108,lg over-the-range microwave oven with 300 cfm venting system,5,0,1,N,Y,Five Stars,Love LG products. Got product in a timely manner.,8/18/2015,0.056933702,,0.77
22,39,39,43357025,R3M0JKAJ6MB493,B0052G51AQ,423421857,danby 0.7 cu.ft. countertop microwave,5,0,1,N,Y,but it heats quickly and is very easy to clean,"You can't use the &#34;cook&#34; feature with a timer going on the machine, but it heats quickly and is very easy to clean.",8/16/2015,0.223624899,,0.78
23,40,40,47563179,RE5FI6X7K940Q,B0055UBB4O,423421857,danby 0.7 cu.ft. countertop microwave,5,0,0,N,Y,Five Stars,Got it sooner thank you,8/15/2015,0.051145977,,0.77
24,42,42,9762969,R33QQZWE5WZ1MK,B0073YCGK8,542519500,"whirlpool wmh31017fs 1.7 cu. ft. over-the-range, combination microwave oven, stainless steel, 1000 watt",5,1,1,N,Y,Easy install.  Looks great.  Works great.,"Lighter than the GE one it replaced.  Easy, simple to use TouchPad.  Installation was easy and I am not the best when it comes to installation of appliances.  I usually pay someone but the previous reviews indicated it was simple and they were right.  You just need 2 people when you are ready to lift it up and hang it in place.",8/13/2015,0.11237706199999999,,0.78
25,43,43,33552683,R2XD9H8S4VPDDT,B00NG0FP7E,565072108,lg over-the-range microwave oven with 300 cfm venting system,5,3,4,N,Y,"Great microwave, I would purchase again.","Install was really easy, and the microwave looks and works great. The buttons are really touch sensitive and it seems to clean very easily.",8/13/2015,0.137715105,,0.8
26,45,45,32907120,R1CXMZHGT72D65,B00NG0FP7E,565072108,lg over-the-range microwave oven with 300 cfm venting system,5,0,1,N,Y,Five Stars,Just installed it  that part was easy,8/12/2015,0.027458053,,0.77
27,46,46,13920155,R1DDJOZCYZBOT9,B00009V3X6,459626087,sharp 1.1-cubic-foot 850-watt over-the-range convection microwaves,5,2,3,N,Y,I couldn't enjoy our travels in our RV if I didn't have ...,I couldn't enjoy our travels in our RV if I didn't have my Sharp convection/microwave oven. I just love it !,8/11/2015,0.041921372,,0.79
28,47,47,35553621,R3EPBXK1X7BZDI,B0073YCGPI,731025324,whirlpool wmh31017aw microwave,5,0,0,N,Y,Excellent Microwave -- does the job!,"Excellent product -- does the job.  I have one in my home, and when an older over-the-stove unit failed in a rental, I immediately ordered another.  A few things are tricky in the install, but were easily and quickly resolved.  Tenants happy, I'm happy.  In this case, the older unit had limited functionality, the Whirlpool has several features new to them that are real benefits.",8/10/2015,0.008862186,,0.77
29,48,48,39828584,R1HFUJLGGZLA2X,B00NN136NQ,464779766,"samsung mc11h6033ct countertop convection microwave with 1.1 cu. ft. capacity, slim fry technology, grilling element, ceramic enamel interior, drop down door, and eco mode in stainless steel",5,0,0,N,Y,Five Stars,love it!,8/9/2015,0.055451877000000004,,0.77
30,49,49,12284007,R1SGRCSYQEMI0F,B001QFYDSI,295520151,sharp microwave drawer oven,5,0,0,N,Y,Great drawer microwave,"We really like the look of this microwave. We used the same model in our last home and liked it and just had a new home built and chose to have the same model installed in our new kitchen. We have never had any issues with it. It is classy looking, large enough for a casserole dish, and heats well.",8/9/2015,0.17993009899999998,,0.78
31,53,53,24044335,R1LKTKXR8G1437,B00012ORT2,305608994,sharp 950-watt 1-2/5-cubic-foot over-the-range microwaves,5,0,1,N,Y,Five Stars,Awesome!,8/9/2015,0.028437935,,0.77
32,55,55,2715832,R2487ZJ2GCE02N,B0052G14E8,423421857,danby 0.7 cu.ft. countertop microwave,5,0,0,N,Y,Five Stars,Very good item,8/7/2015,0.030570682000000002,,0.77
33,56,56,16496840,R33PO0Y4KJSRIB,B005GSZB9Q,771401205,"whirlpool wmc20005yw  countertop microwave, 0.5 cu. ft., white",5,0,0,N,Y,Love it!,"I was reluctant to get a microwave because of limited counter space that I have in my tiny apartment, so I talked myself out of not needing a microwave. But then I realize how convenient it is to have one and found this one that's just the right size, that's when I knew I had to get it. But don't let its size fool you...it can fit a full sized dinner plate. Five star for sleek design and function. Love it!",8/6/2015,0.054385949,,0.77
34,57,57,16779914,R32U84HFYW9RAB,B004ZUWBVW,423421857,danby 0.7 cu.ft. countertop microwave,5,0,0,N,Y,"Great price, great microwave","The microwave does what it's supposed to do and is easy to use. I like the express settings so when you press any single digit it automatically puts in that amount of minutes. It is great for urban kitchen needs. For smaller kitchens, doesn't take up too much space or for bringing up flights of stairs it is nice and light. Really compact, heats up food well. Great for the price.",8/6/2015,0.33045477100000004,,0.78
35,59,59,37140085,R2WZZTZYTMETND,B00NQFSSWS,692404913,samsung counter top microwave,5,2,2,N,Y,A real beauty!,What a beautiful micro.  I love it.  Works great.,8/5/2015,0.135056995,,0.79
36,61,61,16390693,R2DJ78G40RCH9Z,B005GSZB3M,109226352,whirlpool wmc20005yb 0.5 cu. ft. black countertop microwave,5,0,0,N,Y,excellent!,"Excellent! I love the shape and size, perfect for a small kitchen",8/4/2015,0.141160736,,0.77
37,62,62,41449260,RN8OH8WQQAE3Z,B007V7G5TU,423421857,danby 0.7 cu.ft. countertop microwave,5,0,0,N,Y,Better than expected!,Had not heard of this brand. Was a little unsure about purchasing.  Really nice looking and very quiet!  Great value!,8/4/2015,0.163540833,,0.78
38,63,63,1103910,RRC3S9SHXY1XP,B0073YCGPI,731025324,whirlpool wmh31017aw microwave,5,0,0,N,Y,Five Stars,very good,8/4/2015,0.056875330999999994,,0.77
39,64,64,35729606,R2S6C5PBXVCHFD,B0055UBB4O,423421857,danby 0.7 cu.ft. countertop microwave,5,0,0,N,Y,Five Stars,"This is the best, most efficient little microwave we have ever had.",8/4/2015,0.089821626,,0.77
40,65,65,993508,R1RCBMXTERHOHJ,B00012ORT2,305608994,sharp 950-watt 1-2/5-cubic-foot over-the-range microwaves,5,0,1,N,Y,Five Stars,Easily installed it is both attractive and operates easily,8/3/2015,0.095514611,,0.77
41,66,66,14065351,RTRM5DKF96E9D,B005GSZB9Q,771401205,"whirlpool wmc20005yw  countertop microwave, 0.5 cu. ft., white",5,0,0,N,Y,This is the perfect size for the space we have and I think ...,This is the perfect size for the space we have and I think it's the only one that will fit! And good quality.,8/2/2015,0.08416913300000001,,0.77
42,69,69,197189,R24L0SMFBBZ6HY,B00NQFSSWS,692404913,samsung counter top microwave,5,0,0,N,Y,Five Stars,I m happy with it,8/1/2015,0.030101395,,0.77
43,70,70,20539817,R30L6DPZXQ6JDR,B007V7G5TU,423421857,danby 0.7 cu.ft. countertop microwave,5,0,0,N,Y,Looks great. Works great,"Looks great. Works great. I've been using it since May, probably daily, and haven't had any issues at all. It's stainless on the inside as well, so it wipes clean easily. Food and beverages seem to heat evenly. Great deal!",8/1/2015,0.44734375,,0.79
44,71,71,16297085,R3B1AXP92P40OK,B00NN136NQ,464779766,"samsung mc11h6033ct countertop convection microwave with 1.1 cu. ft. capacity, slim fry technology, grilling element, ceramic enamel interior, drop down door, and eco mode in stainless steel",5,0,0,N,Y,Five Stars,Love the versatality of this oven!,8/1/2015,0.009841114,,0.77
45,73,73,19177520,R24NEPZ4WFT7C0,B00EU7AMX4,991090482,ge pvm9179sfss profile 1.7 cu. ft. stainless steel over-the-range microwave - convection,5,2,2,N,Y,We've been very happy with this,"We've been very happy with this.  Not sure I liked the dial at first, but being able to dial in extra time is quick and efficient.",8/1/2015,0.145900907,,0.79
46,76,76,13197869,R23V86M1E49J6O,B00NQFSSWS,692404913,samsung counter top microwave,5,0,0,N,Y,Sleek Samsung microwave with grill/combi feature,Prompt delivery and great looking microwave. I cannot wait to try out grill function. I already went through instruction book to familiarize myself with the functionality.,7/31/2015,0.11862814699999999,,0.77
47,77,77,45652326,R2E1MRFF2ETWMV,B007V7G5TU,423421857,danby 0.7 cu.ft. countertop microwave,5,0,0,N,Y,Five Stars,Great Product,7/30/2015,0.055538351,,0.77
48,79,79,48892420,R1AJIP6XR52IJV,B005GSZB3M,109226352,whirlpool wmc20005yb 0.5 cu. ft. black countertop microwave,5,3,3,N,Y,The most adorable little microwave around,"I only use a microwave to reheat coffee so when I bought my new house and it didn't have a microwave in the kitchen I was kind of like, meh, no biggie. However, after several weekends of cold coffee I caved and went looking for a small microwave that would look cute on the kitchen counter without taking up too much space. I AM SO FREAKING HAPPY WITH THIS. It's literally the most adorable microwave that you could ever want. If you do &#34;cooking&#34; with a microwave, then this isn't your best option. But if you're looking for something to heat up a beverage or reheat something small then this guy is great for you. Have I mentioned how cute it is?!",7/28/2015,-0.005291857,,0.79
49,80,80,46912055,R23Q0HY498I6ZP,B0055UBB4O,423421857,danby 0.7 cu.ft. countertop microwave,4,0,0,N,Y,Just the right size,"We replaced our over-the-range microwave with a range hood. We needed a small microwave to install in our pantry and this fit the bill. It holds a 12&#34; plate and has multiple power levels for cooking, but we use it mostly for rewarming. It does take about twice as long as our old microwave but that's okay. One feature I really like is the one-touch button for speed cooking. Start will zap something for 30 seconds on high. 1 = 1 minute, 2 = 2 minutes, etc. That is quick and handy!",7/27/2015,0.50549356,,0.66
50,82,82,18232646,R2L4EY0P304JL8,B00NG0FP7E,565072108,lg over-the-range microwave oven with 300 cfm venting system,4,11,14,N,Y,Nice looking,"This is a nice looking unit. It arrived right on schedule and was well packaged, so no damage. Plus, all the features seem to work. I particularly like that the fan seems to be quieter than my old unit. My only complaint was, as noted by a couple of others, the installation instructions had the screws in the wrong places. Fortunately, I didn't do the install myself, a pro did it--or the micro would have been on the way back to &#34;home&#34;! The unit matches my other LG appliances, so, I'm pretty happy. I'll update this after I've used the micro for a while. Ta. y'all.",7/27/2015,-0.0062753819999999995,,0.68
51,84,84,36296338,R3WP6JWEIUWIA,B0052G14E8,423421857,danby 0.7 cu.ft. countertop microwave,5,0,0,N,Y,Five Stars,It works just fine.,7/26/2015,0.109044516,,0.77
52,85,85,42813510,R2BODWYT9PR3JB,B005GSZB3M,109226352,whirlpool wmc20005yb 0.5 cu. ft. black countertop microwave,5,0,0,N,Y,This unit is unusual and special due to its vertical dimensions.,I needed a vertical microwave to fit a special spot in my galley.  This unit has proven to have both the power and interior space to meet all my needs.,7/25/2015,0.211298404,,0.78
53,86,86,48814570,RYOE2GLDD0U0X,B00DUZ8LBW,930071734,ge microwave oven magnetron and diode kit om75p (10) part # wb27x10017,5,0,0,N,Y,Excellent part,Excellent quality. Fixed our $500 microwave. Learned that mfg offer 10 year warranty.,7/25/2015,0.109364985,,0.77
54,89,89,35489710,R2ZYJNJLVR8CP0,B00NQFSSWS,692404913,samsung counter top microwave,5,11,12,N,Y,Read The Manual And You Will Be Rewarded!,"I was a bit concerned after reading some of the ratings, but I took the plunge -- and I'm glad I did.  It does everything as good or better than advertised.  As with most products, the manual could stand some extra effort (simplification), so those who don't read it do so at their own peril.  Both my wife and I are pleased with this product and hope it lasts as long as my original Samsung (11 years).",7/25/2015,0.21081698399999999,,0.83
55,92,92,1110711,R3K2D443JAU9RW,B0052G14E8,423421857,danby 0.7 cu.ft. countertop microwave,5,0,0,N,Y,Five Stars,Good,7/24/2015,0.03658225,,0.77
56,93,93,27388387,R1BR2L4W12N06P,B005GSZB3M,109226352,whirlpool wmc20005yb 0.5 cu. ft. black countertop microwave,5,0,0,N,Y,"Small space, big job.","This has been a great little addition. The plate is as large as a that of a larger microwave, but this fits in smaller space -- in this case, in a corner.",7/24/2015,0.221148467,,0.78
57,94,94,15825362,R3IKOSBYNYQXBP,B0052G14E8,423421857,danby 0.7 cu.ft. countertop microwave,5,0,0,N,Y,Works as expected and seem to do the job!,Simple and basic microwave. Works as expected and does the job. Perfect for limited space on a countertop.,7/24/2015,0.22968095300000002,,0.78
58,95,95,51914671,R3B2XBII0AQEFS,B0055UBB4O,423421857,danby 0.7 cu.ft. countertop microwave,5,0,0,N,Y,Five Stars,Received product as described and expeditiously. A++++,7/23/2015,0.112008161,,0.77
59,98,98,4340021,R1LD5M4RE6WLCE,B005GSZB9Q,771401205,"whirlpool wmc20005yw  countertop microwave, 0.5 cu. ft., white",5,0,0,N,Y,Five Stars,Super,7/23/2015,0.019048195,,0.77
60,99,99,29450874,R16Q3SEKYGVNE6,B0055UBB4O,423421857,danby 0.7 cu.ft. countertop microwave,5,0,0,N,Y,Great little microwave!,"Love this microwave.  It fit perfectly in the area I wanted it to.  I wanted a simple, smaller microwave and this fit the bill.  Most microwaves are larger and have too many bells and whistles for me.  It is very attractive - I wanted some stainless to match my other appliances.  I have another Danby product (dehumidifier) and find Danby to be a good product.  In one review I read it said the microwave slid when opening the door - I haven't found this to be a problem at all.  The price for this is great.  Would definitely recommend it.",7/23/2015,0.621181561,,0.8
61,100,100,23068511,R1JYKFIFTON0K9,B0055UBB4O,423421857,danby 0.7 cu.ft. countertop microwave,5,0,0,N,Y,Great for a small kitchen!,"So far so good! It's just big enough to fit my large ikea plates. I didn't think it would be, so I was pleasantly surprised. I didn't want to sacrifice counter space, and this was the best option. It seems to heat up pretty well. Sometimes it takes a little longer than other microwaves, but for me an extra minute isn't a big deal. For the size and price, it's a fantastic buy.<br /><br />EDIT: Just thought I'd update. It's been 2 years and it's still going strong. No issues whatsoever. It works just as well as when I purchased it.",7/22/2015,0.367927794,37.0,0.79
62,104,104,47158665,R1WS8X1AG8C5MN,B005GSZB3M,109226352,whirlpool wmc20005yb 0.5 cu. ft. black countertop microwave,5,0,0,N,Y,Five Stars,Excellent,7/21/2015,0.034029749,5.0,0.77
63,105,105,49804763,R2M9JER1R33XNZ,B0055UBB4O,423421857,danby 0.7 cu.ft. countertop microwave,5,0,0,N,Y,Five Stars,Works well.,7/21/2015,0.06618980099999999,38.0,0.77
64,109,109,17282479,R3TC2LG93ZKSXR,B008F07MPS,168181302,whirlpool wmc30516as 1.6 cu. ft. stainless steel countertop microwave,5,4,7,N,Y,As the wiseman said I have a happy life when I have a happy wife,We had the olver range model in our house but had leave it when we downsized into an apartment. This is the countertop model of the one we had to leave behind. As the wiseman said<br />I have a happy life when I have a happy wife.,7/17/2015,0.0030277620000000002,0.0,0.79
65,110,110,15147619,R1ZWVVTCOWDM71,B00NXRHIO8,692404913,samsung counter top microwave,5,3,5,N,Y,Great little microwave!,"Great basic little microwave.  It is small, but it has all the basic functions you need.  It heats things very thoroughly and quickly.  Surprised at how much hotter it is than my bigger GE.",7/17/2015,0.42525190399999996,4.0,0.81
66,111,111,23279766,R2QH24GL108GJ8,B004ZU09QQ,423421857,danby 0.7 cu.ft. countertop microwave,5,0,0,N,Y,Could not have asked for anything better,"Could not have asked for anything better. The price was so cheap and the microwave works very well.<br /><br />The door is kind of hard to open. When I open it with one hand, I tend to push the machine a little.<br /><br />No issues with heating and seems to work well.<br /><br />The sound is kind of loud..but it is a microwave.",7/17/2015,0.313141262,37.0,0.78
67,112,112,2733712,RY4326S1Y1KGT,B0055UBB4O,423421857,danby 0.7 cu.ft. countertop microwave,5,0,0,N,Y,but still great!! I should've just read the dimensions,"A little smaller than I anticipated, but still great!! I should've just read the dimensions better",7/16/2015,0.06592966900000001,38.0,0.77
68,113,113,16804601,RQGWL6FSHWCHS,B0052G51AQ,423421857,danby 0.7 cu.ft. countertop microwave,4,0,0,N,Y,Good except for the dang Superman door latch!,"Very nice microwave, good size, programming buttons very clear and easy to use. The only reason I gave this 4 stars is the door closure. Maybe for some folks, having a door that latches so tight you have to hold onto the oven itself when pushing button to open door is a good thing but not for me. Really wish there was a way to adjust this-a bit aggravating to have to hang on to it so I don't shove it off the stand to open the door! And one small note...I haven't figured out yet if you can use timer and then go ahead and cook in it without shutting off the timer, my old one you could and find that to be a feature I miss-have written to Danby to ask if I'm missing something on how to do this but they seem to be slow to respond. UPDATE: Danby took over a week to respond but it's as I feared-you cannot set timer and still use microwave to cook-OH WELL but definitely gonna miss that feature from my old microwave. And make sure that when you check a review for Danby microwave, it is for the actual model you are looking at-Amazon has chosen to lump ALL Danby model reviews so whereas this review is for 1.1 and 1000 watt, some reviews are all the way down to the .7 and there seems to be a wide gap in reviews.",7/16/2015,0.468248118,39.0,0.66
69,115,115,50869768,R3LWJVDVB6KWCV,B004NXUJ60,523301568,microwave cavity paint 98qbp0302,5,0,0,N,Y,Works As Advertised If You Do Proper Prep Work,"Works very well if you properly prepare your old microwave first by degreasing, sanding, cleaning and taping it off before applying multiple light coats.",7/14/2015,0.09520801300000001,1.0,0.77
70,121,121,37530730,R3OZD227MDBDHL,B0052G14E8,423421857,danby 0.7 cu.ft. countertop microwave,4,0,0,N,Y,Great microwave for small spaces,This is a very good microwave. it is perfect for places with limited counter space. It is small. You won't be able to cook full meals with this microwave but it is perfect for basic microwave uses such as heating up frozen vegetables and reheating leftovers. So far it has worked just fine.,7/9/2015,0.58513713,37.0,0.66
71,123,123,46131405,r22z7cyetrmaug,b00xyve4b8,665261008,arksen portable mini washing machine 8 - 9lbs dorm camping rv compact laundry washer,4,2,3,n,y,great for singles,i am please with this purchase. its the only portable close washer i have purchased so i can't compare products. e spin cycle isn't veryeffective but it washes well. you can put a pair of man size jeans and a couple of tshirts. at one time. i purchased a two year protection plan just in case.,7/8/2015,0.240218348,0.0,0.66
72,125,125,47014830,r2r6avyamexq4s,b005dnsdey,149559260,samsung basket adjuster - dd97-00119b,5,2,2,n,y,"matched its description, successfully replaced broken part on my ...","matched its description, successfully replaced broken part on my samsung dishwasher. does the job needed, which was mostly just to keep the top dishwasher rack in highest position. i have used lever to raise and lower but it's just not some thing i need often. hard to install, had to really press on it using tools, before it made an audible snapping sound and settled into place. it only goes in one way, in a specific place, so pay attention because force is required and forceful install in wrong place will destroy it. since it is a hard plastic, i could see where the plastic mounting tabs showed stress from the install.  i worried they would break off during my efforts.  important to know that these are side-specific, you need to buy a right or a left to fit the need because it cannot switch between them.  when one breaks, the others carry the load and break sooner so buy spares. ensure your purchase specifies right, left, or both.",7/8/2015,-0.305323306,0.0,0.77
73,128,128,15318989,R3E0UBBYGRCFRR,B0055UBB4O,423421857,danby 0.7 cu.ft. countertop microwave,5,0,0,N,Y,Perfect space and size,Perfect space and size. I have no cabinet space and this works perfectly. But you can't put a regular size plate in it. Still serves their purpose.,7/7/2015,0.21891439199999999,37.0,0.78
74,130,130,48705448,R29P1XS5DMQ7FY,B00NQFSSWS,692404913,samsung counter top microwave,4,6,7,N,Y,"Owned since December 15, 2014","Overall, like it and would recommend. One issue is that, of late, the door requires several pushes to open. I've cleaned the area, can not see an obvious issue but am concerned that it may worsen. So far that is the only negative I've experienced. I'm contacting Samsung directly on this one.",7/6/2015,0.17533923899999998,4.0,0.68
75,131,131,12341246,RWI2FSOJQXPTW,B001QFYDSI,295520151,sharp microwave drawer oven,5,50,54,N,Y,"SOLID microwave, looks and works perfect! See my photos.","We love this. One of our favorite parts of the kitchen remodel. Such a space-saver and it just IS cool. I read some negative reviews - all stemming from not have a revolving plate and might be damaged if someone pushes down on it? Well duh. I have a 5yo and 8yo - they know not to stand on/in the microwave. And it's 2015 - who needs a revolving plate? I use a microwave for quick stuff, not rotisserie chicken and what-not. We are super-pleased with this microwave.",7/5/2015,0.557664353,1.0,0.89
76,138,138,28562117,R2YMXF378Y8F4A,B00NXRHIO8,692404913,samsung counter top microwave,5,1,3,N,Y,Five Stars,am very happy with  this,7/3/2015,0.080609786,6.0,0.78
77,139,139,38461105,REU14VXUS7CGL,B004ZUWBVW,423421857,danby 0.7 cu.ft. countertop microwave,5,0,0,N,Y,Five Stars,Works the way I expected it to work.,7/3/2015,0.011228133999999999,38.0,0.77
78,140,140,47341286,RC7Y30OR77HQK,B00012ORT2,305608994,sharp 950-watt 1-2/5-cubic-foot over-the-range microwaves,5,0,1,N,Y,"Wonderful looking, Quite large",I didn't measure well and this wonderful piece of equipment was much too large so I had to return it So sorry I'd have loved to keep it,7/1/2015,-0.026284462,1.0,0.76
79,143,143,31176203,R3LPHRFYN1YARG,B004ZU09QQ,423421857,danby 0.7 cu.ft. countertop microwave,5,0,0,N,Y,Five Stars,Great!,6/28/2015,0.037179002999999995,35.0,0.77
80,144,144,42443870,R3L9W316F5XNCK,B00NG0FP7E,565072108,lg over-the-range microwave oven with 300 cfm venting system,5,3,4,N,Y,Installed easily and looks great,Installed easily and looks great. It's only been in use for about a month but we have no complaints. Fan is quiet.,6/27/2015,-0.0035796720000000003,0.0,0.79
81,147,147,10569750,R1GUQ9D9ROKIA9,B0052G14E8,423421857,danby 0.7 cu.ft. countertop microwave,5,0,0,N,Y,Five Stars,good machine,6/26/2015,0.05726180000000001,34.0,0.77
82,148,148,41698601,R3NR7YX26QU15N,B005GSZB7I,827502283,"whirlpool stainless look countertop microwave, 0.5 cu. feet, wmc20005yd",5,1,1,N,Y,Five Stars,great microwave.  simple and compact.,6/25/2015,0.114729654,1.0,0.78
